name,followers,link
The Apache Software Foundation,11300,https://github.com/apache
Eclipse Foundation,1100,https://github.com/eclipse
The Linux Foundation,416,https://github.com/linuxfoundation
Cloud Foundry,399,https://github.com/cloudfoundry
Shopify,4500,https://github.com/Shopify
Kubernetes,7500,https://github.com/kubernetes
Node.js,10500,https://github.com/nodejs
vuejs,14000,https://github.com/vuejs
Mozilla,6600,https://github.com/mozilla
Adobe,1600,https://github.com/adobe
Red Hat,1400,https://github.com/RedHatOfficial
Consumer Financial Protection Bureau,125,https://github.com/cfpb
Netflix,5300,https://github.com/Netflix
Esri,1300,https://github.com/Esri
Square,1800,https://github.com/square
X (fka Twitter),12000,https://github.com/twitter
The Guardian,252,https://github.com/guardian
Yelp.com,212,https://github.com/Yelp
International Business Machines,3400,https://github.com/IBM
Microsoft,59200,https://github.com/microsoft
Artsy,165,https://github.com/artsy
Open Source Geospacial Foundation,528,https://github.com/OSGeo
GoDaddy,121,https://github.com/godaddy
CloudFlare,4100,https://github.com/cloudflare
Eleme,161,https://github.com/eleme
DiDi,1200,https://github.com/didi
Alibaba,12400,https://github.com/alibaba
Google,35700,https://github.com/google
Proyecto 26,66,https://github.com/proyecto26
Zalando SE,569,https://github.com/zalando
Stripe,1300,https://github.com/stripe
New Relic,487,https://github.com/newrelic
Docker,6300,https://github.com/docker
Expedia Group Open Source,118,https://github.com/ExpediaGroup
Fairfield Programming Association,28,https://github.com/fairfield-programming
Komodor,282,https://github.com/komodorio
Devtron Labs,169,https://github.com/devtron-labs